Date,pm2.5,pm10,O3,NO2,SO2,co,AQI,Dominant_Pollutant,Month,DayOfWeek,IsWeekend,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter
2015-04-03,165.0,61.0,11.0,21.0,7.0,2.0,335,pm2.5,4,4,0,0,0,0,1,0
2015-04-04,165.0,67.0,9.0,24.0,7.0,10.0,335,pm2.5,4,5,1,0,0,0,1,0
2015-04-05,165.0,78.0,9.0,24.0,7.0,10.0,335,pm2.5,4,6,1,0,0,0,1,0
2015-04-06,165.0,85.0,12.0,23.0,7.0,10.0,335,pm2.5,4,0,0,0,0,0,1,0
2015-04-07,165.0,130.0,11.0,32.0,7.0,39.0,415,co,4,1,0,0,0,0,1,0
2015-04-08,165.0,153.0,10.0,34.0,7.0,27.0,359,co,4,2,0,0,0,0,1,0
2015-04-09,165.0,101.0,30.0,21.0,7.0,16.0,335,pm2.5,4,3,0,0,0,0,1,0
2015-04-10,165.0,111.0,80.0,20.0,7.0,11.0,335,pm2.5,4,4,0,0,0,0,1,0
2015-04-12,165.0,88.0,9.0,24.0,7.0,16.0,335,pm2.5,4,6,1,0,0,0,1,0
2015-04-13,165.0,130.0,7.0,20.0,7.0,10.0,335,pm2.5,4,0,0,0,0,0,1,0
2015-04-23,165.0,111.66666666666669,7.166666666666667,19.5,7.0,13.0,335,pm2.5,4,3,0,0,0,0,1,0
2015-04-25,165.0,93.33333333333334,7.333333333333333,19.0,7.0,8.0,335,pm2.5,4,5,1,0,0,0,1,0
2015-04-28,165.0,75.0,7.5,19.0,7.0,8.0,335,pm2.5,4,1,0,0,0,0,1,0
2015-04-29,165.0,96.0,7.666666666666667,20.0,7.0,11.0,335,pm2.5,4,2,0,0,0,0,1,0
2015-04-30,165.0,132.0,7.833333333333333,22.0,7.0,28.0,365,co,4,3,0,0,0,0,1,0
2015-05-01,85.66666666666667,100.0,5.142857142857143,20.0,6.769230769230769,27.0,359,co,5,4,0,0,0,0,1,0
2015-05-02,90.0,60.0,5.285714285714286,30.0,6.538461538461538,13.0,243,co,5,5,1,0,0,0,1,0
2015-05-03,94.33333333333331,57.0,5.428571428571429,24.0,6.307692307692308,15.0,271,co,5,6,1,0,0,0,1,0
2015-05-04,98.66666666666666,59.0,5.571428571428571,27.0,6.076923076923077,15.0,271,co,5,0,0,0,0,0,1,0
2015-05-05,103.0,102.0,5.714285714285714,33.0,5.846153846153846,44.0,429,co,5,1,0,0,0,0,1,0
2015-05-06,107.33333333333331,88.0,5.857142857142857,48.0,5.615384615384615,41.0,421,co,5,2,0,0,0,0,1,0
2015-05-07,111.66666666666666,127.0,6.0,34.0,5.384615384615385,32.0,388,co,5,3,0,0,0,0,1,0
2015-05-08,116.0,145.0,6.142857142857142,36.0,5.153846153846153,34.0,400,co,5,4,0,0,0,0,1,0
2015-05-09,120.33333333333331,89.0,6.285714285714286,40.0,4.923076923076923,27.0,359,co,5,5,1,0,0,0,1,0
2015-05-10,124.66666666666666,67.0,6.428571428571429,36.0,4.692307692307692,26.0,353,co,5,6,1,0,0,0,1,0
2015-05-11,129.0,75.0,6.571428571428571,40.0,4.461538461538462,33.0,394,co,5,0,0,0,0,0,1,0
2015-05-12,133.33333333333331,60.0,6.714285714285714,30.0,4.230769230769231,16.0,310,pm2.5,5,1,0,0,0,0,1,0
2015-05-13,137.66666666666666,59.75,6.857142857142857,31.0,4.0,21.0,324,co,5,2,0,0,0,0,1,0
2015-05-14,142.0,59.5,7.0,34.0,3.0,23.0,335,co,5,3,0,0,0,0,1,0
2015-05-15,133.0,59.25,8.0,32.0,3.0,20.0,318,co,5,4,0,0,0,0,1,0
2015-05-16,98.0,59.0,9.0,23.0,3.0,11.0,227,pm2.5,5,5,1,0,0,0,1,0
2015-05-17,82.0,58.75,8.0,26.0,3.0,14.0,257,co,5,6,1,0,0,0,1,0
2015-05-18,263.0,58.5,10.0,31.0,3.0,20.0,410,pm2.5,5,0,0,0,0,0,1,0
2015-05-19,192.0,58.25,12.0,28.0,5.0,21.0,355,pm2.5,5,1,0,0,0,0,1,0
2015-05-20,121.0,58.0,8.0,34.0,9.0,19.0,312,co,5,2,0,0,0,0,1,0
2015-05-21,147.0,57.75,7.0,38.0,3.0,26.0,353,co,5,3,0,0,0,0,1,0
2015-05-22,127.0,57.5,8.0,35.0,9.0,27.0,359,co,5,4,0,0,0,0,1,0
2015-05-23,157.0,57.25,5.0,35.0,6.0,27.0,359,co,5,5,1,0,0,0,1,0
2015-05-24,133.0,57.0,5.0,33.0,9.0,17.0,310,pm2.5,5,6,1,0,0,0,1,0
2015-05-25,169.0,56.75,6.0,36.0,8.0,31.0,382,co,5,0,0,0,0,0,1,0
2015-05-26,163.0,56.5,6.0,34.0,7.0,46.0,435,co,5,1,0,0,0,0,1,0
2015-05-27,191.0,56.25,9.0,33.0,7.0,31.0,382,co,5,2,0,0,0,0,1,0
2015-05-28,164.0,56.0,10.0,31.0,8.0,35.0,403,co,5,3,0,0,0,0,1,0
2015-05-29,177.0,55.75,8.0,38.0,1.0,42.0,424,co,5,4,0,0,0,0,1,0
2015-05-30,168.0,55.5,7.0,32.0,1.0,22.0,337,pm2.5,5,5,1,0,0,0,1,0
2015-05-31,165.0,55.25,9.0,30.0,7.0,18.0,335,pm2.5,5,6,1,0,0,0,1,0
2015-06-01,152.0,99.43767572633551,8.0,24.0,3.0,17.0,325,pm2.5,6,0,0,0,1,0,0,0
2015-06-02,160.0,99.456419868791,8.0,15.0,7.0,15.0,331,pm2.5,6,1,0,0,1,0,0,0
2015-06-03,139.0,99.47516401124648,10.0,20.0,3.0,15.0,315,pm2.5,6,2,0,0,1,0,0,0
2015-06-04,163.0,99.49390815370197,8.0,21.0,2.0,11.0,333,pm2.5,6,3,0,0,1,0,0,0
2015-06-05,154.0,99.51265229615746,10.0,27.0,7.0,15.0,326,pm2.5,6,4,0,0,1,0,0,0
2015-06-06,138.0,99.53139643861292,8.0,28.0,4.0,19.0,314,pm2.5,6,5,1,0,1,0,0,0
2015-06-07,159.0,99.5501405810684,8.0,32.0,1.0,23.0,335,co,6,6,1,0,1,0,0,0
2015-06-08,155.0,99.5688847235239,7.0,36.0,8.0,30.0,376,co,6,0,0,0,1,0,0,0
2015-06-09,166.0,99.58762886597938,9.0,32.0,6.0,37.0,409,co,6,1,0,0,1,0,0,0
2015-06-10,127.0,99.60637300843489,8.0,27.0,4.0,12.0,305,pm2.5,6,2,0,0,1,0,0,0
2015-06-11,105.0,99.62511715089036,5.0,29.0,2.0,15.0,271,co,6,3,0,0,1,0,0,0
2015-06-12,120.0,99.64386129334582,6.0,32.0,3.0,16.0,300,pm2.5,6,4,0,0,1,0,0,0
2015-06-13,96.0,99.66260543580132,13.0,25.0,3.0,13.0,243,co,6,5,1,0,1,0,0,0
2015-06-14,109.0,99.6813495782568,7.0,25.0,7.0,14.0,263,pm2.5,6,6,1,0,1,0,0,0
2015-06-15,177.0,99.70009372071227,10.0,21.0,7.0,29.0,371,co,6,0,0,0,1,0,0,0
2015-06-16,153.0,99.71883786316776,8.0,22.0,3.0,15.0,325,pm2.5,6,1,0,0,1,0,0,0
2015-06-17,148.0,99.73758200562324,9.0,20.0,3.0,12.0,322,pm2.5,6,2,0,0,1,0,0,0
2015-06-18,138.0,99.75632614807871,9.0,21.0,6.0,15.0,314,pm2.5,6,3,0,0,1,0,0,0
2015-06-19,156.0,99.7750702905342,9.0,18.0,3.0,29.0,371,co,6,4,0,0,1,0,0,0
2015-06-20,109.0,99.79381443298968,7.0,17.0,7.0,11.0,263,pm2.5,6,5,1,0,1,0,0,0
2015-06-21,101.0,99.81255857544517,7.0,15.0,6.666666666666667,11.0,237,pm2.5,6,6,1,0,1,0,0,0
2015-06-22,75.0,99.83130271790066,6.0,15.0,6.333333333333333,9.0,188,co,6,0,0,0,1,0,0,0
2015-06-23,113.0,99.85004686035614,7.0,16.0,6.0,11.0,277,pm2.5,6,1,0,0,1,0,0,0
2015-06-24,84.0,99.86879100281162,5.0,18.0,2.0,14.0,257,co,6,2,0,0,1,0,0,0
2015-06-25,78.0,99.8875351452671,3.0,18.0,2.0,11.0,214,co,6,3,0,0,1,0,0,0
2015-06-26,109.0,99.90627928772258,5.0,20.0,3.0,14.0,263,pm2.5,6,4,0,0,1,0,0,0
2015-06-27,118.0,99.92502343017809,5.0,22.0,3.0,14.0,293,pm2.5,6,5,1,0,1,0,0,0
2015-06-28,152.0,99.94376757263356,6.0,18.0,4.333333333333333,11.0,325,pm2.5,6,6,1,0,1,0,0,0
2015-06-29,77.0,99.96251171508902,11.0,14.0,5.666666666666666,9.0,188,co,6,0,0,0,1,0,0,0
2015-06-30,81.33333333333333,99.98125585754453,5.0,20.0,7.0,18.0,306,co,6,1,0,0,1,0,0,0
2015-07-01,82.0,98.85660731021557,5.0,21.0,7.0,22.0,329,co,7,2,0,0,1,0,0,0
2015-07-02,123.0,98.87535145267104,5.0,24.0,4.0,34.0,400,co,7,3,0,0,1,0,0,0
2015-07-03,118.0,98.89409559512652,6.0,22.0,8.0,18.0,306,co,7,4,0,0,1,0,0,0
2015-07-04,125.0,98.912839737582,4.0,21.0,8.0,19.0,312,co,7,5,1,0,1,0,0,0
2015-07-05,142.0,98.9315838800375,5.0,15.0,5.0,28.0,365,co,7,6,1,0,1,0,0,0
2015-07-06,74.0,98.95032802249295,4.0,16.0,2.0,12.0,229,co,7,0,0,0,1,0,0,0
2015-07-07,73.0,98.96907216494844,4.0,20.0,3.0,14.0,257,co,7,1,0,0,1,0,0,0
2015-07-08,95.0,98.98781630740392,5.0,18.0,2.0,12.0,229,co,7,2,0,0,1,0,0,0
2015-07-09,102.0,99.00656044985942,4.0,15.0,2.0,9.0,240,pm2.5,7,3,0,0,1,0,0,0
2015-07-10,64.0,99.0253045923149,3.0,14.0,2.0,8.0,175,co,7,4,0,0,1,0,0,0
2015-07-11,57.0,99.0440487347704,4.0,14.0,6.0,26.0,353,co,7,5,1,0,1,0,0,0
2015-07-12,72.0,99.06279287722586,4.0,18.0,3.0,16.0,286,co,7,6,1,0,1,0,0,0
2015-07-13,86.0,99.08153701968136,5.0,22.0,5.0,18.0,306,co,7,0,0,0,1,0,0,0
2015-07-14,117.0,99.10028116213684,4.0,22.0,7.0,31.0,382,co,7,1,0,0,1,0,0,0
2015-07-15,105.0,99.11902530459233,3.0,19.0,6.0,15.0,271,co,7,2,0,0,1,0,0,0
2015-07-16,133.0,99.1377694470478,4.0,19.0,2.0,11.0,310,pm2.5,7,3,0,0,1,0,0,0
2015-07-17,76.0,99.15651358950328,4.0,16.0,2.0,11.0,214,co,7,4,0,0,1,0,0,0
2015-07-18,98.0,99.17525773195877,6.0,14.0,2.0,10.0,227,pm2.5,7,5,1,0,1,0,0,0
2015-07-19,92.0,99.19400187441424,5.0,16.0,2.0,10.0,207,pm2.5,7,6,1,0,1,0,0,0
2015-07-20,73.0,99.21274601686972,4.0,15.0,6.0,24.0,341,co,7,0,0,0,1,0,0,0
2015-07-21,84.0,99.2314901593252,4.0,15.0,4.0,9.0,188,co,7,1,0,0,1,0,0,0
2015-07-22,79.0,99.2502343017807,4.0,14.0,2.0,8.0,175,co,7,2,0,0,1,0,0,0
2015-07-23,85.0,99.26897844423618,4.0,14.0,3.0,12.0,229,co,7,3,0,0,1,0,0,0
2015-07-24,100.0,99.28772258669166,4.0,15.0,2.0,11.0,233,pm2.5,7,4,0,0,1,0,0,0
2015-07-25,75.0,99.30646672914712,3.0,14.0,3.0,10.0,200,co,7,5,1,0,1,0,0,0
2015-07-26,49.0,99.32521087160262,1.0,15.0,6.0,17.0,300,co,7,6,1,0,1,0,0,0
2015-07-27,65.0,99.34395501405812,3.0,16.0,8.0,29.0,371,co,7,0,0,0,1,0,0,0
2015-07-28,60.0,99.3626991565136,3.0,14.0,3.0,13.0,243,co,7,1,0,0,1,0,0,0
2015-07-29,61.0,99.38144329896906,4.0,16.0,7.0,14.0,257,co,7,2,0,0,1,0,0,0
2015-07-30,58.0,99.40018744142456,3.0,17.0,4.0,14.0,257,co,7,3,0,0,1,0,0,0
2015-07-31,80.0,99.41893158388004,2.0,16.0,2.0,13.0,243,co,7,4,0,0,1,0,0,0
2015-08-01,88.0,98.2755388940956,3.0,16.0,7.0,27.0,359,co,8,5,1,0,1,0,0,0
2015-08-02,91.0,98.29428303655106,3.0,15.0,2.0,14.0,257,co,8,6,1,0,1,0,0,0
2015-08-03,91.0,98.31302717900655,4.0,17.0,3.0,11.0,214,co,8,0,0,0,1,0,0,0
2015-08-04,97.0,98.33177132146204,5.0,16.0,2.0,12.0,229,co,8,1,0,0,1,0,0,0
2015-08-05,89.0,98.35051546391752,4.0,18.0,3.0,11.0,214,co,8,2,0,0,1,0,0,0
2015-08-06,80.0,98.369259606373,4.0,16.0,3.0,12.0,229,co,8,3,0,0,1,0,0,0
2015-08-07,99.0,98.38800374882848,3.0,17.0,3.0,14.0,257,co,8,4,0,0,1,0,0,0
2015-08-08,129.0,98.40674789128396,5.0,17.0,2.0,15.0,307,pm2.5,8,5,1,0,1,0,0,0
2015-08-09,114.0,98.42549203373946,5.0,21.0,2.0,22.0,329,co,8,6,1,0,1,0,0,0
2015-08-10,121.0,98.44423617619492,3.0,19.0,7.0,29.0,371,co,8,0,0,0,1,0,0,0
2015-08-11,70.0,98.4629803186504,6.0,19.0,2.0,16.0,286,co,8,1,0,0,1,0,0,0
2015-08-12,112.0,98.4817244611059,3.0,17.0,6.0,27.0,359,co,8,2,0,0,1,0,0,0
2015-08-13,121.0,98.5004686035614,3.0,18.0,3.0,13.0,301,pm2.5,8,3,0,0,1,0,0,0
2015-08-14,102.0,98.51921274601688,3.0,16.0,2.0,12.0,240,pm2.5,8,4,0,0,1,0,0,0
2015-08-15,93.0,98.53795688847237,3.0,16.0,2.0,12.0,229,co,8,5,1,0,1,0,0,0
2015-08-16,60.0,98.55670103092784,3.0,16.0,3.0,16.0,286,co,8,6,1,0,1,0,0,0
2015-08-17,76.0,98.57544517338332,3.0,19.0,2.0,16.0,286,co,8,0,0,0,1,0,0,0
2015-08-18,104.0,98.5941893158388,2.0,18.0,2.0,17.0,300,co,8,1,0,0,1,0,0,0
2015-08-19,71.0,98.61293345829428,1.0,18.0,1.5,14.0,257,co,8,2,0,0,1,0,0,0
2015-08-20,104.0,98.63167760074975,1.3076923076923077,17.0,1.0,12.0,247,pm2.5,8,3,0,0,1,0,0,0
2015-08-21,102.16666666666669,98.65042174320524,1.6153846153846154,20.0,1.0,14.0,257,co,8,4,0,0,1,0,0,0
2015-08-22,100.33333333333331,98.66916588566072,1.9230769230769231,16.0,1.0,12.0,234,pm2.5,8,5,1,0,1,0,0,0
2015-08-23,98.5,98.68791002811622,2.230769230769231,25.0,2.5,27.0,359,co,8,6,1,0,1,0,0,0
2015-08-24,96.66666666666669,98.7066541705717,2.5384615384615383,22.0,4.0,30.0,376,co,8,0,0,0,1,0,0,0
2015-08-25,94.83333333333331,98.72539831302716,2.8461538461538463,25.0,1.0,16.0,286,co,8,1,0,0,1,0,0,0
2015-08-26,93.0,98.74414245548266,3.153846153846154,23.0,2.333333333333333,13.0,243,co,8,2,0,0,1,0,0,0
2015-08-27,91.16666666666669,98.76288659793816,3.4615384615384617,22.0,3.6666666666666665,11.0,214,co,8,3,0,0,1,0,0,0
2015-08-28,89.33333333333333,98.78163074039362,3.769230769230769,22.0,5.0,32.0,388,co,8,4,0,0,1,0,0,0
2015-08-29,87.5,98.8003748828491,4.076923076923077,24.0,4.0,30.0,376,co,8,5,1,0,1,0,0,0
2015-08-30,85.66666666666667,98.8191190253046,4.384615384615385,23.0,5.0,13.0,243,co,8,6,1,0,1,0,0,0
2015-08-31,83.83333333333334,98.83786316776008,4.6923076923076925,25.0,6.0,16.0,286,co,8,0,0,0,1,0,0,0
2015-09-01,193.8021978021978,97.7319587628866,2.688172043010753,23.0,5.0,29.0,371,co,9,1,0,0,1,0,0,0
2015-09-02,190.15384615384616,97.75070290534208,2.698924731182796,26.0,1.0,15.0,354,pm2.5,9,2,0,0,1,0,0,0
2015-09-03,186.5054945054945,97.76944704779756,2.709677419354839,28.0,5.0,30.0,376,co,9,3,0,0,1,0,0,0
2015-09-04,182.8571428571429,97.78819119025304,2.720430107526882,28.0,2.0,14.0,348,pm2.5,9,4,0,0,1,0,0,0
2015-09-05,179.2087912087912,97.80693533270852,2.731182795698925,27.0,6.0,29.0,371,co,9,5,1,0,1,0,0,0
2015-09-06,175.56043956043956,97.825679475164,2.741935483870968,29.0,1.0,15.0,343,pm2.5,9,6,1,0,1,0,0,0
2015-09-07,171.9120879120879,97.8444236176195,2.752688172043011,28.0,2.0,15.0,340,pm2.5,9,0,0,0,1,0,0,0
2015-09-08,168.26373626373626,97.86316776007496,2.763440860215054,30.0,4.0,27.0,359,co,9,1,0,0,1,0,0,0
2015-09-09,164.6153846153846,97.88191190253043,2.774193548387097,30.0,2.5,14.0,334,pm2.5,9,2,0,0,1,0,0,0
2015-09-10,160.967032967033,97.90065604498594,2.78494623655914,32.0,1.0,18.0,332,pm2.5,9,3,0,0,1,0,0,0
2015-09-11,157.31868131868134,97.91940018744144,2.795698924731183,25.0,2.5,13.0,329,pm2.5,9,4,0,0,1,0,0,0
2015-09-12,153.6703296703297,97.93814432989691,2.806451612903226,25.0,4.0,29.0,371,co,9,5,1,0,1,0,0,0
2015-09-13,150.02197802197804,97.9568884723524,2.817204301075269,26.0,1.0,15.0,323,pm2.5,9,6,1,0,1,0,0,0
2015-09-14,146.3736263736264,97.97563261480786,2.827956989247312,25.0,1.75,14.0,320,pm2.5,9,0,0,0,1,0,0,0
2015-09-15,142.72527472527474,97.99437675726335,2.838709677419355,23.0,2.5,14.0,317,pm2.5,9,1,0,0,1,0,0,0
2015-09-16,139.0769230769231,98.01312089971884,2.849462365591398,22.0,3.25,15.0,315,pm2.5,9,2,0,0,1,0,0,0
2015-09-17,135.42857142857144,98.03186504217432,2.860215053763441,21.0,4.0,27.0,359,co,9,3,0,0,1,0,0,0
2015-09-18,131.7802197802198,98.0506091846298,2.870967741935484,23.0,3.25,15.0,309,pm2.5,9,4,0,0,1,0,0,0
2015-09-19,128.13186813186817,98.06935332708528,2.881720430107527,22.0,2.5,14.0,306,pm2.5,9,5,1,0,1,0,0,0
2015-09-20,124.4835164835165,98.08809746954076,2.89247311827957,22.0,1.75,17.0,303,pm2.5,9,6,1,0,1,0,0,0
2015-09-21,120.83516483516485,98.10684161199624,2.903225806451613,32.0,1.0,29.0,371,co,9,0,0,0,1,0,0,0
2015-09-22,117.1868131868132,98.12558575445172,2.913978494623656,23.0,2.0,15.0,291,pm2.5,9,1,0,0,1,0,0,0
2015-09-24,113.53846153846156,98.1443298969072,2.924731182795699,29.0,3.0,18.0,306,co,9,3,0,0,1,0,0,0
2015-09-25,109.8901098901099,98.1630740393627,2.935483870967742,28.0,4.0,18.0,306,co,9,4,0,0,1,0,0,0
2015-09-26,106.24175824175823,98.1818181818182,2.946236559139785,30.0,4.0,35.0,403,co,9,5,1,0,1,0,0,0
2015-09-27,102.5934065934066,98.20056232427366,2.956989247311828,34.0,3.0,19.0,312,co,9,6,1,0,1,0,0,0
2015-09-28,98.94505494505496,98.21930646672914,2.967741935483871,30.0,2.0,17.0,300,co,9,0,0,0,1,0,0,0
2015-09-29,95.2967032967033,98.23805060918464,2.978494623655914,37.0,1.0,24.0,341,co,9,1,0,0,1,0,0,0
2015-09-30,91.64835164835164,98.25679475164011,2.989247311827957,36.0,4.0,25.0,347,co,9,2,0,0,1,0,0,0
2015-10-01,306.9010989010989,97.15089034676664,2.3548387096774195,30.0,1.3000000000000005,17.0,444,pm2.5,10,3,0,1,0,0,0,0
2015-10-02,303.25274725274727,97.16963448922212,2.3655913978494625,32.0,1.0,16.0,441,pm2.5,10,4,0,1,0,0,0,0
2015-10-03,299.6043956043956,97.1883786316776,2.376344086021505,38.0,4.0,24.0,438,pm2.5,10,5,1,1,0,0,0,0
2015-10-04,295.956043956044,97.20712277413308,2.3870967741935485,38.0,5.0,25.0,435,pm2.5,10,6,1,1,0,0,0,0
2015-10-05,292.3076923076923,97.22586691658856,2.3978494623655915,35.0,1.0,20.0,433,pm2.5,10,0,0,1,0,0,0,0
2015-10-06,288.65934065934067,97.24461105904405,2.4086021505376345,39.0,5.0,41.0,430,pm2.5,10,1,0,1,0,0,0,0
2015-10-07,285.010989010989,97.26335520149954,2.419354838709677,34.0,1.0,21.0,427,pm2.5,10,2,0,1,0,0,0,0
2015-10-08,281.3626373626374,97.282099343955,2.4301075268817205,31.0,1.0,21.0,424,pm2.5,10,3,0,1,0,0,0,0
2015-10-09,277.7142857142857,97.30084348641049,2.4408602150537635,37.0,6.0,41.0,421,pm2.5,10,4,0,1,0,0,0,0
2015-10-10,274.0659340659341,97.31958762886596,2.4516129032258065,46.0,10.0,66.0,494,co,10,5,1,1,0,0,0,0
2015-10-11,270.4175824175824,97.33833177132146,2.462365591397849,34.0,3.0,24.0,416,pm2.5,10,6,1,1,0,0,0,0
2015-10-12,266.7692307692308,97.35707591377694,2.4731182795698925,30.0,1.0,15.0,413,pm2.5,10,0,0,1,0,0,0,0
2015-10-13,263.1208791208791,97.37582005623244,2.4838709677419355,30.0,2.0,13.0,410,pm2.5,10,1,0,1,0,0,0,0
2015-10-14,259.4725274725275,97.3945641986879,2.4946236559139785,26.0,3.0,12.0,407,pm2.5,10,2,0,1,0,0,0,0
2015-10-15,255.82417582417585,97.4133083411434,2.505376344086021,27.0,4.0,12.0,404,pm2.5,10,3,0,1,0,0,0,0
2015-10-16,252.17582417582415,97.43205248359888,2.5161290322580645,27.0,5.0,31.0,402,pm2.5,10,4,0,1,0,0,0,0
2015-10-17,248.52747252747253,97.45079662605436,2.5268817204301075,32.0,3.0,19.0,399,pm2.5,10,5,1,1,0,0,0,0
2015-10-18,244.87912087912088,97.46954076850984,2.5376344086021505,36.0,1.0,16.0,396,pm2.5,10,6,1,1,0,0,0,0
2015-10-19,241.23076923076923,97.48828491096532,2.548387096774193,39.0,1.0,25.0,393,pm2.5,10,0,0,1,0,0,0,0
2015-10-20,237.5824175824176,97.5070290534208,2.5591397849462365,42.0,2.0,37.0,409,co,10,1,0,1,0,0,0,0
2015-10-21,233.93406593406596,97.52577319587628,2.5698924731182795,38.0,1.0,29.0,388,pm2.5,10,2,0,1,0,0,0,0
2015-10-22,230.28571428571428,97.54451733833176,2.5806451612903225,35.0,1.0,37.0,409,co,10,3,0,1,0,0,0,0
2015-10-23,226.63736263736263,97.56326148078723,2.591397849462365,44.0,1.0,28.0,382,pm2.5,10,4,0,1,0,0,0,0
2015-10-24,222.989010989011,97.58200562324274,2.6021505376344085,39.0,3.0,24.0,379,pm2.5,10,5,1,1,0,0,0,0
